"id","posted_date","company_name","job_title","salary","position_level","qualification","years_of_experience","job_type","job_specialisation","industry","company_size","job_description","min_qualification","min_qualification_broad"
18,"Posted 13 hours ago","J&T CARGO","OPERATION EXECUTIVE","","Senior Executive","Not Specified","3 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1001 - 2000","","Not Specified","Not Specified"
36,"Posted on 28-Feb-22","DHL Supply Chain (Malaysia) Sdn Bhd","Operation Executive","MYR�3,000 - MYR�4,200","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","501 - 1000","","Bachelor's Degree","High-skilled"
60,"Posted on 23-Feb-22","Kintetsu World Express (Malaysia) Sdn Bhd","Logistics Warehouse Executive","MYR�2,800 - MYR�4,000","Junior Executive","Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","501 - 1000","","Professional Certificate","High-skilled"
61,"Posted on 23-Feb-22","City-Link Express (M) Sdn Bhd","BRANCH IN CHARGE (PERAI)","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","2001 - 5000","","Diploma","High-skilled"
97,"Posted on 14-Feb-22","DHL Supply Chain (Malaysia) Sdn Bhd","Transport Coordinator","MYR�1,500 - MYR�2,500","Entry Level","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","","Full-Time, Contract","Services,Logistics/Supply Chain","Transportation / Logistics","501 - 1000","","Diploma","High-skilled"
104,"Posted on 14-Feb-22","Worldgate Express Services Sdn Bhd","Logistics - Sales Executive / Sales Coordinator","MYR�2,300 - MYR�4,300","Junior Executive","Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Primary/Secondary School/O Level","Low-skilled"
129,"Posted on 14-Feb-22","MALONE SHIPPING SDN. BHD.","Finance & Admin","MYR�2,000 - MYR�2,800","Senior Executive","Not Specified","2 years","Full-Time","Admin/Human Resources,Clerical/Administrative Support","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
144,"Posted on 10-Mar-22","Kuehne & Nagel","Road Logistics Executive (Penang, Malaysia)","","Not Specified","Not Specified","","","Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
145,"Posted 12 hours ago","PKT Logistics","Warehouse Executive (Shift work required)","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
154,"Posted on 12-Mar-22","Toll Group","Team Leader - Logistics","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
159,"Posted on 12-Mar-22","Toll Group","Tender Executive","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
218,"Posted on 11-Mar-22","CITY ZONE EXPRESS","IT Officer","","Not Specified","Not Specified","","Full-Time","Computer/Information Technology,IT-Network/Sys/DB Admin","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
228,"Posted on 27-Feb-22","Kuehne & Nagel","Sea Logistics Customer Care Specialist","","Not Specified","Not Specified","","","Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
246,"Posted on 2-Mar-22","Toll Group","HR Generalist","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
288,"Posted on 18-Feb-22","Toll Group","Group Procurement Operations Specialist","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
305,"Posted on 24-Feb-22","PKT Logistics","Industrial Engineering","","Not Specified","Not Specified","","Full-Time","Engineering,Industrial Engineering","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
314,"Posted on 9-Mar-22","City-Link Express and Logistics (S) Pte Ltd","Credit Control Assistant","","Not Specified","Not Specified","","","Accounting/Finance,General/Cost Accounting","Transportation / Logistics","2001 - 5000","","Not Specified","Not Specified"
317,"Posted on 10-Mar-22","TRANSAIRMARINE FREIGHT SERVICES SDN. BHD.","Accounts Clerk (GEORGETOWN, PENANG)","","Not Specified","Not Specified","","Full-Time","Accounting/Finance,General/Cost Accounting","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
331,"Posted on 5-Mar-22","Toll Group","Business Process CI, Data Analytics & Solutions Specialist","","Not Specified","Not Specified","","Full-Time","Computer/Information Technology,IT-Network/Sys/DB Admin","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
336,"Posted on 6-Mar-22","CITY ZONE EXPRESS","Pemandu Lori","","Not Specified","Not Specified","","Full-Time","Others,General Work","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
341,"Posted on 23-Feb-22","CITY ZONE EXPRESS","Storekeeper/Warehouse Assistant","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
347,"Posted on 1-Mar-22","QEL SHIPPING SERVICES","Customer Service Officer","","Not Specified","Not Specified","","Full-Time","Services,Customer Service","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
356,"Posted on 24-Feb-22","TRANSAIRMARINE FREIGHT SERVICES SDN. BHD.","CUSTOMER SERVICE CLERK (SIMPANG EMPAT, PENANG)","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
417,"Posted on 9-Mar-22","Bollore Logistics Malaysia Sdn Bhd","Sales Manager (Penang Branch)","","Manager","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Diploma","High-skilled"
440,"Posted on 8-Mar-22","MAGICAL LOGISTICS (M) SDN BHD","Sales Manager (Logistics)","MYR�4,000 - MYR�8,000","Manager","Not Specified","5 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
468,"Posted on 11-Mar-22","Kuehne + Nagel Sdn Bhd","National Key Account Manager (Cross Verticals)","","Manager","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Sales/Marketing,Sales - Corporate","Transportation / Logistics","201 - 500","","Diploma","High-skilled"
485,"Posted 11 hours ago","See Hup Transport Co. Sdn Bhd","Truck Operator","","Not Specified","Not Specified","","Full-Time","Others,General Work","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
500,"Posted 12 hours ago","J&T EXPRESS (MALAYSIA) SDN. BHD. -PENANG","Sales Executive (E-Commerce)","","Not Specified","Not Specified","","Full-Time","Sales/Marketing,Marketing/Business Dev","Transportation / Logistics","> 5000","","Not Specified","Not Specified"
598,"Posted on 13-Mar-22","CITY ZONE EXPRESS","Workshop Assistant","","Not Specified","Not Specified","","Full-Time","Engineering,Mechanical","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
648,"Posted 12 hours ago","CITY ZONE EXPRESS","Customer Service Coordinator","","Not Specified","Not Specified","","Full-Time","Services,Customer Service","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
656,"Posted on 11-Mar-22","Toll Group","Export Team Leader","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
660,"Posted 12 hours ago","Pos Logistics","Internship","","Not Specified","Not Specified","","Internship","Services,Logistics/Supply Chain","Transportation / Logistics","1001 - 2000","","Not Specified","Not Specified"
662,"Posted on 12-Mar-22","Toll Group","Team Leader , Finance","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
665,"Posted 12 hours ago","Round-The-World Logistics Corp","Sales Executive","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
668,"Posted on 11-Mar-22","QEL SHIPPING SERVICES","CUSTOMER SERVICE OFFICER","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
669,"Posted on 13-Mar-22","TRANSAIRMARINE FREIGHT SERVICES SDN. BHD.","Document Assistant (Butterworth, Penang)","","Not Specified","Not Specified","","Contract","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
698,"Posted on 17-Feb-22","Tiong Nam Logistics Solutions Sdn Bhd","Internship","MYR�400 - MYR�600","Entry Level","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","","Internship","Admin/Human Resources,Clerical/Administrative Support","Transportation / Logistics","1001 - 2000","","Diploma","High-skilled"
753,"Posted on 10-Mar-22","MS Global Freight Solution Sdn Bhd","Sales Executive - based in KL, JOHOR, PENANG","MYR�3,000 - MYR�4,000","Junior Executive","Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Higher Secondary/STPM/'A' Level/Pre-U","Mid-skilled"
756,"Posted on 1-Mar-22","Far Asia Line Sdn Bhd","Customer service","MYR�2,500 - MYR�3,800","Junior Executive","Not Specified","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
784,"Posted on 8-Mar-22","Kintetsu World Express (Malaysia) Sdn Bhd","Sales Executive (Logistics and Transportation)","MYR�2,500 - MYR�4,000","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Sales/Marketing,Sales - Corporate","Transportation / Logistics","501 - 1000","","Diploma","High-skilled"
815,"Posted on 4-Mar-22","FedEx Trade Networks Transport & Brokerage (M) Sdn Bhd","Manager Air and Ocean Freight Processes & Training (CargoWise One)","","Manager","Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Bachelor's Degree","High-skilled"
823,"Posted on 1-Mar-22","FedEx Trade Networks Transport & Brokerage (M) Sdn Bhd","Coordinator, Ocean Operations (Station in Penang)","","Non-Executive","Primary/Secondary School/O Level, Professional Certificate","3 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
842,"Posted 13 hours ago","Pgeon Express Sdn. Bhd.","Flex Driver (Car) – Penang","","Non-Executive","Primary/Secondary School/O Level","1 year","Full-Time","Others,General Work","Transportation / Logistics","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
863,"Posted on 7-Mar-22","OTL Asia Sdn Bhd","PEMANDU LORI “CROSS BORDER”","MYR�1,500 - MYR�2,100","Non-Executive","Not Specified","2 years","Full-Time","Others,General Work","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
865,"Posted on 22-Feb-22","FM GLOBAL LOGISTICS (M) SDN BHD","Documentation Officer","","Non-Executive","Not Specified","2 years","Full-Time","Admin/Human Resources,Clerical/Administrative Support","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
910,"Posted on 18-Feb-22","J&T CARGO","System Analyst","MYR�2,500 - MYR�4,500","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Full-Time","Computer/Information Technology,IT-Software","Transportation / Logistics","1001 - 2000","","Bachelor's Degree","High-skilled"
911,"Posted 12 hours ago","JJ Express Services Sdn Bhd","Finance Executive","MYR�2,200 - MYR�3,300","Senior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Full-Time","Accounting/Finance,General/Cost Accounting","Transportation / Logistics","201 - 500","","Bachelor's Degree","High-skilled"
920,"Posted 12 hours ago","Tri-Mode System (Penang) Sdn Bhd","Import Forwarding Documentation Clerk","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
930,"Posted on 4-Mar-22","Tri-Mode System (Penang) Sdn Bhd","Export Forwarding Documentation Clerk","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
931,"Posted on 12-Mar-22","ALTAIRAA GLOBAL","STOR HAND","","Not Specified","Not Specified","","Contract","Manufacturing,Manufacturing","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
946,"Posted 12 hours ago","UNIFY SHIPPING SERVICES","Customer Service","","Not Specified","Not Specified","","Full-Time","Services,Customer Service","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
967,"Posted on 10-Mar-22","QUANTERM LOGISTICS","Sales Manager","","Not Specified","Not Specified","","Full-Time","Sales/Marketing,Telesales/Telemarketing","Transportation / Logistics","501 - 1000","","Not Specified","Not Specified"
971,"Posted on 9-Mar-22","Hitachi Transport System (M) Sdn Bhd","ADMIN JUNIOR EXECUTIVE (PENANG)","","Not Specified","Not Specified","","Full-Time","Computer/Information Technology,IT-Network/Sys/DB Admin","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
992,"Posted on 22-Feb-22","BLUE TRIANGLE AIR CARGO","Warehouse Assistant Prai (autocity,juru)","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
995,"Posted on 21-Feb-22","See Hup Transport Co. Sdn Bhd","BUSINESS DEVELOPMENT OFFICER","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
