posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted 16 hours ago,VAT Manufacturing Malaysia Sdn Bhd,Elastomer Category Purchasing Executive,"MYR 4,000 - MYR 7,000",Senior Executive,Not Specified,5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,501 - 1000 Employees
Posted 3 hours ago,Jabil Circuit Sdn Bhd,Internship for Purchasing Department,,Entry Level,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,"Full-Time, Internship","Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted 6 hours ago,Lumileds Malaysia Sdn Bhd,Material Planner,"MYR 4,500 - MYR 6,000",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 11-Mar-22,Dynacosmos Care Products Sdn Bhd,Purchaser,"MYR 2,800 - MYR 3,500",Senior Executive,Not Specified,1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 14-Mar-22,Agensi Pekerjaan Career Wise Sdn Bhd,Production Control & Logistic Executive,"MYR 3,500 - MYR 4,200",Senior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Human Resources Management / Consulting,1 - 50 Employees
Posted on 11-Mar-22,99 Speed Mart Sdn Bhd,TRAINEE ASSISTANT WAREHOUSE MANAGER,,Manager,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Services,Logistics/Supply Chain",General & Wholesale Trading,More than 5000 Employees
Posted 22 hours ago,Plexus Manufacturing Sdn Bhd,Buyer/Demand Analyst (Fresh Graduated),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 14-Mar-22,IMA AUTOMATION MALAYSIA SDN BHD,Purchasing Executive,,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 13-Mar-22,WINWAY INTERCONNECT TECHNOLOGY (M) SDN BHD,CS Planner,,Entry Level,Not Specified,1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",Electrical & Electronics,51 - 200 Employees
Posted 55 seconds ago,Osadi Commercial Supplies Sdn Bhd,Production/Warehouse Supervisor,"MYR 2,500 - MYR 4,000",Junior Executive,Not Specified,3 years,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,51 - 200 Employees
Posted 3 minutes ago,Flex,Materials Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",8 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,More than 5000 Employees
Posted on 14-Mar-22,ASM Technology (M) Sdn Bhd,Senior Manager - Supply Chain Management,"MYR 10,000 - MYR 12,000",Senior Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",20 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,1001 - 2000 Employees
Posted 18 hours ago,Unitrade United Sdn Bhd,Warehouse supervisor,,Non-Executive,Not Specified,2 years,Full-Time,"Building/Construction,Civil/Construction",Others,1 - 50 Employees
Posted on 11-Mar-22,MEP Enviro Technology Sdn Bhd,Warehouse & Logistics Officer,"MYR 2,000 - MYR 3,000",Junior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,201 - 500 Employees
Posted on 11-Mar-22,Company Confidential,SALES OFFICER,"MYR 2,200 - MYR 2,800",Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",3 years,Full-Time,"Sales/Marketing,Marketing/Business Dev",,
Posted on 14-Mar-22,Jora Jobs,Assistant Warehouse Manager,,Manager,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 13-Mar-22,P1 International Sdn Bhd,Despatch,"MYR 1,500 - MYR 2,500",Non-Executive,Primary/Secondary School/O Level,,Full-Time,"Others,General Work",Call Center/IT-Enabled Services/BPO,51 - 200 Employees
Posted 13 hours ago,J&T CARGO,OPERATION EXECUTIVE,,Senior Executive,Not Specified,3 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,1001 - 2000 Employees
Posted 19 hours ago,Jora Jobs,Inventory Planner,,Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 10-Mar-22,BABA ECO GROUP BHD,Warehouse Executive / Assistant Manager,"MYR 4,000 - MYR 5,600",Senior Executive,Not Specified,5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
