posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted 14 hours ago,J&T CARGO,OPERATION EXECUTIVE,,Senior Executive,Not Specified,3 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,1001 - 2000 Employees
Posted on 14-Mar-22,Company Confidential,"Demand Planner ,Perai - Up to MYR 7,000","MYR 5,000 - MYR 7,000",Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",6 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",,
Posted 19 hours ago,ZW Packaging Sdn Bhd,Machine Packer & Mover,"MYR 1,500 - MYR 2,100",Non-Executive,Primary/Secondary School/O Level,2 years,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted 23 hours ago,Scandinavian IBS Sdn Bhd,Procurement Executive / Officer,"MYR 2,200 - MYR 4,400",Entry Level,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,501 - 1000 Employees
Posted 17 hours ago,VAT Manufacturing Malaysia Sdn Bhd,Elastomer Category Purchasing Executive,"MYR 4,000 - MYR 7,000",Senior Executive,Not Specified,5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,501 - 1000 Employees
Posted on 11-Mar-22,timesconsult,Logistic Executive @ MNC (1 Yr Contract Renewable),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Logistics/Supply Chain",Human Resources Management / Consulting,51 - 200 Employees
Posted 19 hours ago,Jora Jobs,Inventory Planner,,Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted 4 hours ago,Jabil Circuit Sdn Bhd,Internship for Purchasing Department,,Entry Level,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,"Full-Time, Internship","Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted 22 hours ago,Plexus Manufacturing Sdn Bhd,Buyer/Demand Analyst (Fresh Graduated),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted 6 hours ago,Lumileds Malaysia Sdn Bhd,Material Planner,"MYR 4,500 - MYR 6,000",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted 17 minutes ago,STG Southernpak Enterprise Sdn.Bhd,Purchasing Officer,"MYR 2,300 - MYR 2,800",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1 - 50 Employees
Posted on 11-Mar-22,99 Speed Mart Sdn Bhd,TRAINEE ASSISTANT WAREHOUSE MANAGER,,Manager,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Services,Logistics/Supply Chain",General & Wholesale Trading,More than 5000 Employees
Posted 26 minutes ago,Flex,Materials Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",8 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,More than 5000 Employees
Posted 22 hours ago,Medical Innovation Ventures Sdn. Bhd.,Purchasing Executive,,Junior Executive,Not Specified,2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Healthcare / Medical,1 - 50 Employees
Posted on 14-Mar-22,Agensi Pekerjaan Career Wise Sdn Bhd,Production Control & Logistic Executive,"MYR 3,500 - MYR 4,200",Senior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Human Resources Management / Consulting,1 - 50 Employees
Posted on 9-Mar-22,Fasttrack Logistics (M) Sdn Bhd,CUSTOMER SERVICE (SHIPPING & LOGISTICS),"MYR 2,500 - MYR 3,500",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,1 - 50 Employees
Posted 1 hour ago,Plexus Manufacturing Sdn Bhd,Manufacturing Officer (Production Supervisor) - Shift,"MYR 2,500 - MYR 4,000",Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,More than 5000 Employees
Posted 14 minutes ago,Nezda Malaysia,SAP Logistics Consultant,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",3 years,Full-Time,"Computer/Information Technology,IT-Software",Human Resources Management / Consulting,501 - 1000 Employees
Posted 18 hours ago,B. Braun Medical Industries Sdn. Bhd.,Supervisor - Production,,Non-Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Manufacturing,Manufacturing",Healthcare / Medical,More than 5000 Employees
Posted on 14-Mar-22,ASM Technology (M) Sdn Bhd,Senior Manager - Supply Chain Management,"MYR 10,000 - MYR 12,000",Senior Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",20 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,1001 - 2000 Employees
Posted on 14-Mar-22,Toll Logistics (Asia) Limited,Operation Controller (Part-Time),,Junior Executive,Primary/Secondary School/O Level,1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support,Services,Logistics/Supply Chain",Transportation / Logistics,201 - 500 Employees
Posted on 9-Mar-22,Quanterm Logistics Sdn Bhd,OCEAN IMPORT EXPORT COORDINATOR/EXECUTIVE,"MYR 2,000 - MYR 4,000",Senior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,501 - 1000 Employees
Posted 7 hours ago,Lumileds Malaysia Sdn Bhd,Senior/Supply Planner,,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 9-Mar-22,Hotayi Electronic (M) Sdn Bhd (Hotayi Group),SCM (Supply Chain),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted on 9-Mar-22,Western Digital,Warehouse Material Handler,,Entry Level,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,2001 - 5000 Employees
Posted 24 hours ago,LAM RESEARCH INTERNATIONAL SDN. BHD.,Manufacturing Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",8 years,Full-Time,"Manufacturing,Manufacturing",Semiconductor/Wafer Fabrication,501 - 1000 Employees
Posted 23 hours ago,Jora Jobs,Procurement Manager,,Manager,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 5-Mar-22,XSD International Paper,Shipping Executive - Based in Kulim,"MYR 2,500 - MYR 5,000",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Services,Logistics/Supply Chain",Wood / Fibre / Paper,1001 - 2000 Employees
Posted 20 hours ago,Jabil Circuit Sdn Bhd,Lean Section Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,More than 5000 Employees
Posted 19 hours ago,Micron Memory Malaysia Sdn Bhd,Indirect Category Supplier Manager,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Semiconductor/Wafer Fabrication,1001 - 2000 Employees
Posted on 10-Mar-22,ADVANCED ENERGY INDUSTRIES (MALAYSIA) SDN. BHD.,Warehouse Manager,"MYR 8,000 - MYR 10,000",Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted on 9-Mar-22,LAM RESEARCH INTERNATIONAL SDN. BHD.,Internship for Business Management Students,,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Services,Logistics/Supply Chain",Semiconductor/Wafer Fabrication,501 - 1000 Employees
Posted on 11-Mar-22,Celestica Malaysia Sdn Bhd,Commodity Management Officer (Cable),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,2001 - 5000 Employees
Posted on 10-Mar-22,BABA ECO GROUP BHD,Warehouse Executive / Assistant Manager,"MYR 4,000 - MYR 5,600",Senior Executive,Not Specified,5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 12-Mar-22,Jora Jobs,Purchasing Executive,,Junior Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted 23 hours ago,Jora Jobs,Purchasing Admin,,Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support,Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 11-Mar-22,Agensi Pekerjaan Adecco Personnel Sdn Bhd,Distribution Lead,"MYR 5,500 - MYR 6,500",Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Services,Logistics/Supply Chain",Human Resources Management / Consulting,201 - 500 Employees
Posted on 12-Mar-22,Jora Jobs,Purchasing Coordinator,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 11-Mar-22,Agensi Pekerjaan Iconic Malaysia Gw Sdn. Bhd.,Sales Coordinator,"MYR 3,000 - MYR 4,000",Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Sales/Marketing,Sales - Eng/Tech/IT",Human Resources Management / Consulting,1 - 50 Employees
Posted on 28-Feb-22,Kemikon Sdn. Bhd.,Material Planner,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,201 - 500 Employees
Posted on 1-Mar-22,ALLSTARZ RESOURCES SDN. BHD.,Logistic Executive,"MYR 2,200 - MYR 2,800",Junior Executive,Not Specified,5 years,Full-Time,"Services,Logistics/Supply Chain",General & Wholesale Trading,1 - 50 Employees
Posted on 1-Mar-22,Flex,Materials Manager - Prai,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",7 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,More than 5000 Employees
Posted on 7-Mar-22,UWC Holdings Sdn Bhd,JobStreet Tech Virtual Career Fair (9-11th March 2022),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Engineering,Electrical",Manufacturing / Production,1001 - 2000 Employees
Posted on 12-Mar-22,NLC General Pest Control Sdn Bhd,Technical Sales Executive / Marketing Executive,,Junior Executive,Not Specified,1 year,Full-Time,"Sales/Marketing,Retail Sales",Chemical/Fertilizers/Pesticides,201 - 500 Employees
Posted on 7-Mar-22,Gurney Paragon Mall,Car Park Supervisor,,Junior Executive,Not Specified,3 years,Full-Time,"Others,General Work",Property / Real Estate,51 - 200 Employees
Posted on 12-Mar-22,Jora Jobs,Production Operator,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 25-Feb-22,SIW MANUFACTURING SDN. BHD.,Procurement Executive,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 1-Mar-22,Lifework Recruitment Agency Sdn Bhd,Planner,"MYR 3,500 - MYR 7,000",Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,201 - 500 Employees
Posted on 1-Mar-22,Plexus Manufacturing Sdn Bhd,Demand Analyst (Material Planning),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 11-Mar-22,Smith & Associates Malaysia Sdn Bhd,Sales Manager/ Senior Sales Representative (Thai/ Vietnamese/ Japanese speaking),,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Sales/Marketing,Sales - Corporate",Electrical & Electronics,501 - 1000 Employees
Posted on 2-Mar-22,WT Microelectronics (M) Sdn Bhd,Customer Service Representative cum Planner,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Services,Customer Service",Electrical & Electronics,1 - 50 Employees
