posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted 14 hours ago,J&T CARGO,OPERATION EXECUTIVE,,Senior Executive,Not Specified,3 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,1001 - 2000 Employees
Posted 23 hours ago,Plexus Manufacturing Sdn Bhd,Buyer/Demand Analyst (Fresh Graduated),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 14-Mar-22,Agensi Pekerjaan Career Wise Sdn Bhd,Production Control & Logistic Executive,"MYR 3,500 - MYR 4,200",Senior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Human Resources Management / Consulting,1 - 50 Employees
Posted 4 hours ago,Jabil Circuit Sdn Bhd,Internship for Purchasing Department,,Entry Level,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,"Full-Time, Internship","Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 9-Mar-22,Hotayi Electronic (M) Sdn Bhd (Hotayi Group),SCM (Supply Chain),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted 20 hours ago,Jora Jobs,Inventory Planner,,Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 13-Mar-22,P1 International Sdn Bhd,Despatch,"MYR 1,500 - MYR 2,500",Non-Executive,Primary/Secondary School/O Level,,Full-Time,"Others,General Work",Call Center/IT-Enabled Services/BPO,51 - 200 Employees
Posted on 11-Mar-22,Jinko Solar Technology Sdn Bhd,Production Shift Superintendent (Rotating Shift),,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,More than 5000 Employees
Posted on 11-Mar-22,Dynacosmos Care Products Sdn Bhd,Purchaser,"MYR 2,800 - MYR 3,500",Senior Executive,Not Specified,1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 9-Mar-22,Quanterm Logistics Sdn Bhd,OCEAN IMPORT EXPORT COORDINATOR/EXECUTIVE,"MYR 2,000 - MYR 4,000",Senior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,501 - 1000 Employees
